Year,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
energy.Investments in Solar and Wind Energy Capacity,,,,,,,,,,,,,,,,,,,,,,,,,29599999000,42600000000,57800000000,96600000000,134200000000,136700000000,199999990000,243500000000,220799995000,204600000000,258699995000,297699990000,271200010000,309699996000,272600000000,,,,,
energy.Investments in Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331000000000,340000000000,351000000000,377000000000,451000000000,494000000000,517000000000,596000000000,659000000000
energy.Investments in Hydropower Energy Capcity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42615100000,37974300000,43626400000,70137500000,66555700000,54965900000,62406900000,55053300000,31671000000,21961600000,,,,
energy.Investments in Nuclear Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800000000,34900000000,38600000000,36300000000,37100000000,40400000000,45300000000,52900000000,62600000000
energy.Investments in Other Capacity,,,,,,,,,,,,,,,,,,,,,,,,,12900000000,20000001000,39600000000,44699999000,35700001000,25599998000,30500000000,35400000000,25100000000,22600000700,21700000000,16600000000,18599999900,11400000000,14800000000,,,,,
energy.Installation Cost of S&W capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870.425741180947,806.430190851043,717.593291398346,617.464770674102,532.158497368439,492.927941118471,497.68054234464,506.649965048249,523.713487984807,
energy.share of GDP invested in fuel extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0164915254237288,0.0129915254237288,0.0104851694915254,0.0103516949152542,0.0100847457627119,0.00981779661016949,0.00722245762711865,,,
energy.share of GDP invested in Energy Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0100402542372881,0.0100995762711864,0.0100254237288136,0.00950635593220339,0.00909110169491526,0.00870550847457627,0.00820127118644068,,,
energy.CO2 emissions,19.0527618003299,18.5889619463705,18.4407824586149,18.5506533565753,19.1971526663156,19.849859749505,20.1298117910404,20.7428328018478,21.5376458283009,21.8328513926012,22.041699273216,22.5228498425012,21.8364067212029,22.0475215186396,22.1671222730407,22.6154850759198,23.3050073973432,23.4205244795503,23.3370216264251,23.8250668732969,24.5184138123653,24.7036473100738,25.2723087204166,26.5821991758423,27.4984306182001,28.4119541116871,29.2923987056594,30.1218132688879,30.6862244059293,30.1484043940044,31.8673790234856,32.8663961755341,33.3494731563762,33.5850847813671,33.7768659026317,33.8154791936955,33.7405819566107,34.2906983257504,34.9590671846834,35.1626960923174,33.3343063187952,35.1593943144017,,
energy.CH4 emissions,0.118891267891857,0.114040256394576,0.1140396044931,0.113728487982937,0.11433025717311,0.113373024847311,0.116530286269535,0.117835265145496,0.120965464736499,0.122598632813481,0.122631562118799,0.120561048622222,0.117135742554693,0.116450729695393,0.115841758536183,0.118831379713127,0.121411925984392,0.121892114213974,0.121486898330985,0.119944281305481,0.122392881629777,0.1238904838903,0.124861146703742,0.130687267061304,0.138763717232827,0.14326814173951,0.146917595194835,0.149116696545918,0.155192920165377,0.154854402882264,0.160665001373648,0.162503086589809,0.166551461228884,0.167692172211274,0.166885650892668,,,,,,,,,
energy.N20 emissions,0.000599520311503673,0.000625390941408956,0.000785324049308535,0.00082139777085711,0.00074420193402416,0.000705265036981322,0.000800068714082827,0.000941746343849533,0.000827580603916707,0.00091543466993834,0.000909144746002712,0.00115101941458253,0.00121320908111897,0.0010636595944508,0.00116968730255171,0.00107939706542218,0.00102881429768062,0.00142470289584598,0.00101756683574336,0.000903611658344026,0.000910105697145982,0.000894171363744367,0.000978912869218947,0.000915399550098554,0.000949251797757946,0.000896943824541488,0.000996742797172011,0.000876874547293947,0.000673343918920299,0.000692552219234329,0.000675564752500571,0.000698256317853123,0.000669014747076612,0.000672008426452217,0.000630595480581728,,,,,,,,,
energy.SO2 emissions,0.135274361821225,0.131177243956212,0.128528124897505,0.127022248167481,0.128447947491398,0.128742190694862,0.128747593511274,0.131160046629886,0.132253269965877,0.132422804838463,0.1319264911168,0.130070576223647,0.126300515088782,0.124077416582409,0.120915694841301,0.118836578688368,0.116980543387329,0.116639342263335,0.113780333553251,0.108523575166655,0.109131206660588,0.109875295204526,0.108626517688117,0.112506874810505,0.118214671775208,0.12268864065259,0.123586368346891,0.122839257946234,0.120302673647715,0.11532608333834,0.11408239271754,0.115487077423088,0.113338982204123,0.112684135976888,0.111763264776835,,,,,,,,,
